id,title,category,excerpt,body,image,credits,tags
1,"Pelvibacter lucens","Bacterial Colony","Fluorescent bacterial floor consortium producing bioluminescent mineral textures.","Pelvibacter lucens forms dense fluorescent bacterial colonies across humid mineral surfaces throughout the Ssymnac Cave Complex.

The organism emits faint pulses of bioluminescent light during atmospheric vibration and humidity peaks.

Researchers observed synchronized growth between separated colonies, suggesting non-local communication mechanisms across cave chambers.

Crystalline sediment embedded within bacterial membranes produces reflective mineral textures across cave floors.","images/BacteriaCarpet.jpg","RCr 66 Archive","{bacteria,atmosphere,collective,mineral}"
2,"Lichen Exchange Systems","Symbiotic Relation","Mineral surfaces, bacterial films and plant spores forming long-term mutual growth structures.","Lichen Exchange Systems emerge at the intersection of mineral deposits, bacterial films, and airborne spores.

These hybrid formations behave as slow-growing exchange networks rather than discrete organisms.

Field studies suggest continuous nutrient redistribution across surface layers over extended temporal cycles.","images/love.png","RCr 66 Archive","{symbiosis,mineral,bacteria,plant}"
3,"Formica mycelia","Fungal Symbiosis","Ant colonies cultivating fungal membranes through reciprocal nutrient exchange systems.","Ant colonies cultivate subterranean fungal membranes beneath humid stone chambers.

Workers transport mineral fragments and organic residue into fungal growth structures.

The fungus produces nutrient fibers consumed by the colony, creating a stable closed-loop exchange system.","images/ant-mushroom.png","RCr 66 Archive","{animal,fungus,symbiosis,collective}"
4,"Somatic Exchange Networks","Human-Bacterial Symbiosis","Human respiratory systems interacting continuously with bacterial cave atmospheres.","Long-term exposure to cave atmospheres alters microbial composition within human respiratory systems.

Field researchers developed microbial overlap with cave wall bacteria after extended underground exposure.

This suggests a continuous exchange between human and environmental microbiomes.","images/Bacteriasymbiosis.jpg","RCr 66 Archive","{human,bacteria,atmosphere,symbiosis}"
5,"Aerosymbiont","Embossed Artefact","Atmospheric signal organism fused with a human transmission system.","The Aerosymbiont artefact combines biological tissue patterns with metallic signal channels beneath a silver surface layer.

Internal cavities react to humidity and emit low-frequency resonance during atmospheric storms.

Its function remains unclear: communication device, organism, or ceremonial interface.","images/Alien.png","RCr 66 Archive","{artefact,atmosphere,communication}"
6,"CareUnit-Seraph","Embossed Artefact","Biomechanical care structure designed for prolonged bodily attachment.","CareUnit-Seraph appears to be a biomechanical support structure for prolonged bodily attachment.

Mineral deposits suggest repeated immersion in heated cave pools rich in bacterial sediment.

Inscriptions reference care rituals, grief processing, and memory preservation systems.","images/Angel.png","RCr 66 Archive","{artefact,human,ritual,care}"
7,"Thermadrone","Embossed Artefact","Hybrid cave organism merged with artificial skeletal drone structures.","Thermadrone structures combine organic bone growth with metallic reinforcement systems.

Heat-sensitive membranes allow adaptation to rapid temperature shifts inside cave environments.

Fragments suggest collapse near ventilation tunnels containing fungal residues.","images/Dragon.png","RCr 66 Archive","{artefact,machine,animal,atmosphere}"
8,"Cervoid Interface","Embossed Artefact","Forest mammal synchronization with abandoned navigational technologies.","Cervoid Interfaces appear as antler-like structures fused with mammalian skeletal remains.

Metallic growth lines respond weakly to magnetic fluctuations.

Local accounts describe deer-like silhouettes emitting dim internal light in fog conditions.","images/Hirsch.png","RCr 66 Archive","{animal,artefact,navigation,forest}"
9,"Moonufowl","Embossed Artefact","Synthetic feather systems evolving into autonomous emotional communication.","Moonufowl exhibits reflective feather structures capable of changing pattern states during interaction.

Early prototypes suggest ceremonial communication systems evolving into autonomous behavior.

The species may represent hybrid emotional-technological evolution.","images/Pfau.png","RCr 66 Archive","{artefact,communication,animal,ritual}"
10,"Stellar Drift Field","Cosmic System","Interconnected stellar clusters producing low-frequency luminous communication patterns.","Stellar Drift Fields consist of synchronized stellar clusters emitting low-frequency light fluctuations.

Astronomical readings suggest structured repetition patterns resembling encoded communication.

Some hypotheses propose the cave complex as a resonance receiver for cosmic signals.","images/Stars.png","RCr 66 Archive","{cosmic,atmosphere,communication,system}"
11,"Genetic Dual Formation","Biological Mirror Case","Synchronized biological behavior between genetically mirrored human subjects.","Genetic Dual Formation describes synchronized physiological responses between genetically mirrored individuals.

Observed effects include parallel sleep cycles and shared sensory hallucination states.

Separation does not interrupt behavioral synchronization patterns.","images/Twins.png","RCr 66 Archive","{human,biology,collective,memory}"
12,"Ssymnac Cave Complex","Geological Field System","Subterranean system mediating exchanges between mineral, atmospheric and biological layers.","The Ssymnac Cave Complex is a multi-layered subterranean system of mineral, biological, and atmospheric interactions.

Researchers describe it as a living exchange network rather than a static geological formation.

It continuously mediates transformation between organic and inorganic systems.","images/cave.png","RCr 66 Archive","{cave,system,atmosphere,mineral}"
13,"Cereus ambiguus","Plant Symbiosis","Toxic defensive needles coexist with soft nutrient-rich fruit spines.","Toxic defensive needles coexist with nutrient-rich fruit membranes.

Researchers observed cave insects consuming the inner fruit while avoiding the outer spine lattice.

During dry seasons the organism redistributes stored moisture toward neighboring roots through underground fungal channels.

Chemical scans revealed fluctuating alkaloid concentrations linked to nearby bacterial activity inside the Ssymnac Cave Complex.","images/cactus01.jpg","RCr 66 Archive","{symbiosis,plant,water,biology}"
14,"Opuntia dulcisferra","Plant Symbiosis","Underground water retention systems shared between neighboring root structures.","Opuntia dulcisferra forms subterranean root systems capable of storing filtered cave moisture for extended periods.

Thermal imaging revealed water redistribution between neighboring organisms during mineral drought cycles.

Researchers documented synchronized blooming events occurring without direct sunlight exposure.

Local oral histories describe the species as ""the plant that remembers thirst."".","images/cactus02.jpg","RCr 66 Archive","{symbiosis,plant,water,collective}"
15,"Viridiluma mollis","Collective Organism","Small green organisms synchronizing body temperature during collective sleep.","Small fur-covered organisms resting in dense circular formations near heated mineral vents.

Biological scans indicate synchronized temperature regulation during collective sleep cycles.

When isolated from the group, individuals display rapid metabolic decline and disorientation.

Researchers debate whether Viridiluma functions as separate organisms or as a distributed communal body.","images/greenflup.png","RCr 66 Archive","{collective,animal,temperature,biology}"
16,"Photosensitive Calcite Structures","Mineral Formation","Stalactite systems displaying growth behavior similar to phototropic plants.","Calcite formations inside the eastern cave chambers exhibit directional growth patterns similar to phototropic plants.

Despite minimal light exposure, mineral branches orient consistently toward fluctuating thermal radiation sources.

Growth acceleration occurs after ritual smoke gatherings, leading researchers to question whether the structures respond chemically, biologically, or collectively to environmental presence.","images/stalactiten.jpg","RCr 66 Archive","{mineral,growth,cave,ritual}"
17,"Nebula Folia","Smoke Adaptive Flora","Cave flora species activated through ritual smoke exposure.","Nebula Folia remains dormant until exposed to dense mineral smoke produced during collective cave ceremonies.

After activation the plant releases airborne spores carrying mild psychoactive compounds and fluorescent pollen dust.

Oral histories suggest the species was cultivated during mourning rituals and atmospheric healing practices inside deeper cave settlements.","images/plant01.jpg","RCr 66 Archive","{plant,ritual,smoke,atmosphere}"
